いけ	動詞,自立,*,*,一段,連用形,いける,イケ,イケ,i
もらい	動詞,非自立,*,*,五段・ワ行促音便,連用形,もらう,モライ,モライ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
思い	動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
経験	名詞,サ変接続,*,*,*,*,経験,ケイケン,ケイケン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
うち	名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
びっくり	名詞,サ変接続,*,*,*,*,びっくり,ビックリ,ビックリ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
びっくり	名詞,サ変接続,*,*,*,*,びっくり,ビックリ,ビックリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ,s
かしこまっ	動詞,自立,*,*,五段・ラ行,連用タ接続,かしこまる,カシコマッ,カシコマッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
見合い	動詞,自立,*,*,五段・ワ行促音便,連用形,見合う,ミアイ,ミアイ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
いけ	動詞,自立,*,*,一段,連用形,いける,イケ,イケ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
想像	名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー,i
通り	動詞,自立,*,*,五段・ラ行,連用形,通る,トオリ,トーリ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
鹿	名詞,一般,*,*,*,*,鹿,シカ,シカ,s
威し	動詞,自立,*,*,五段・サ行,連用形,威す,オドシ,オドシ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
場所	名詞,一般,*,*,*,*,場所,バショ,バショ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
かわる	動詞,自立,*,*,五段・ラ行,基本形,かわる,カワル,カワル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
趣味	名詞,一般,*,*,*,*,趣味,シュミ,シュミ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
趣味	名詞,一般,*,*,*,*,趣味,シュミ,シュミ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
テニス	名詞,一般,*,*,*,*,テニス,テニス,テニス,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
バトミントン	名詞,一般,*,*,*,*,バトミントン,バトミントン,バトミントン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
サークル	名詞,一般,*,*,*,*,サークル,サークル,サークル,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やり	動詞,自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ,s
だし	動詞,非自立,*,*,五段・サ行,連用形,だす,ダシ,ダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ほんとに	副詞,一般,*,*,*,*,ほんとに,ホントニ,ホントニ,s
基本	名詞,一般,*,*,*,*,基本,キホン,キホン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
わかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,わかる,ワカッ,ワカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
一回	名詞,副詞可能,*,*,*,*,一回,イッカイ,イッカイ,s
習お	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,習う,ナラオ,ナラオ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
おもっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おもる,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
習い	名詞,一般,*,*,*,*,習い,ナライ,ナライ,s
始め	動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
続け	動詞,自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
安倉	名詞,固有名詞,地域,一般,*,*,安倉,アグラ,アグラ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ノア	名詞,一般,*,*,*,*,ノア,ノア,ノア,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
インドア	名詞,一般,*,*,*,*,インドア,インドア,インドア,s
スポーツ	名詞,一般,*,*,*,*,スポーツ,スポーツ,スポーツ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
環境	名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
外	名詞,一般,*,*,*,*,外,ソト,ソト,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
習っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,習う,ナラッ,ナラッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
バトミントン	名詞,一般,*,*,*,*,バトミントン,バトミントン,バトミントン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
足	名詞,一般,*,*,*,*,足,アシ,アシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
違っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,違う,チガッ,チガッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
習っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,習う,ナラッ,ナラッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
よかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
バトミントン	名詞,一般,*,*,*,*,バトミントン,バトミントン,バトミントン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,i
分かる	動詞,自立,*,*,五段・ラ行,基本形,分かる,ワカル,ワカル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
足	名詞,一般,*,*,*,*,足,アシ,アシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
逆	名詞,一般,*,*,*,*,逆,ギャク,ギャク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
習っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,習う,ナラッ,ナラッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
よかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
初級	名詞,一般,*,*,*,*,初級,ショキュウ,ショキュー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
上げ	動詞,自立,*,*,一段,連用形,上げる,アゲ,アゲ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらえ	動詞,非自立,*,*,一段,未然形,もらえる,モラエ,モラエ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一杯	副詞,一般,*,*,*,*,一杯,イッパイ,イッパイ,s
詰まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,詰まる,ツマッ,ツマッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
みな	名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あがら	動詞,自立,*,*,五段・ラ行,未然形,あがる,アガラ,アガラ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
上げ	動詞,自立,*,*,一段,連用形,上げる,アゲ,アゲ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらわ	動詞,自立,*,*,五段・ワ行促音便,未然形,もらう,モラワ,モラワ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
テニス	名詞,一般,*,*,*,*,テニス,テニス,テニス,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
しんどい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しんどい,シンドイ,シンドイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
