つ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ツ,ツ
漬こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,漬かる,ツコウ,ツコー
筋張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,筋張る,スジボウ,スジボー
張りきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,張りきる,ハリキウ,ハリキー
舐めずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,舐めずる,ナメズウ,ナメズー
滑べう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,滑べる,スベウ,スベー
感極もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,感極まる,カンキワモウ,カンキワモー
いみきろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いみきらう,イミキロウ,イミキロー
怒り狂う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,怒り狂う,イカリクルウ,イカリクルー
先細う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,先細る,サキホソウ,サキホソー
跨う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,跨る,マタゴウ,マタゴー
ほかのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほかなる,ホカノウ,ホカノー
言い繕う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言い繕う,イイツクロウ,イーツクロー
いじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いじる,イジウ,イジー
出ぱう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出ぱる,デウパウ,デウパー
ちまよう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ちまよう,チマヨウ,チマヨー
つきしたごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つきしたがう,ツキシタゴウ,ツキシタゴー
驚き入う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,驚き入る,オドロキイウ,オドロキイー
ネグう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ネグる,ネグウ,ネグー
みしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みしる,ミシウ,ミシー
囀う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,囀る,サエズウ,サエズー
さきどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,さきだつ,サキドウ,サキドー
あいとものう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あいともなう,アイトモノウ,アイトモノー
ちばしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ちばしる,チバシウ,チバシー
なれ合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,なれ合う,ナレオウ,ナレオー
かちおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かちあう,カチオウ,カチオー
ゆずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ゆずる,ユズウ,ユズー
ひぞう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひぞる,ヒゾウ,ヒゾー
ひろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ひろう,ヒロウ,ヒロー
きりはろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,きりはらう,キリハロウ,キリハロー
混ぜ合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,混ぜ合う,マゼオウ,マゼオー
由う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,由る,ヨウ,ヨー
せめのぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,せめのぼる,セメノボウ,セメノボー
気どう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,気どる,キドウ,キドー
置換おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,置換わる,オキカオウ,オキカオー
歌う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,歌う,ウトウ,ウトー
見損のう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,見損なう,ミソコノウ,ミソコノー
すんとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すんたる,スントウ,スントー
計う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,計る,ハコウ,ハコー
とりおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,とりあう,トリオウ,トリオー
貸切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,貸切る,カシキウ,カシキー
立ふさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立ふさがる,タチフサゴウ,タチフサゴー
ころごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ころがる,コロゴウ,コロゴー
付き従う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,付き従う,ツキシタゴウ,ツキシタゴー
伝おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,伝わる,ツタオウ,ツタオー
つま先立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,つま先立つ,ツマサキドウ,ツマサキドー
うけおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うけあう,ウケオウ,ウケオー
勝取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,勝取る,カチトウ,カチトー
踏んぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,踏んばる,フンボウ,フンボー
たごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たがる,タゴウ,タゴー
つちこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つちかう,ツチコウ,ツチコー
みやう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みやる,ミヤウ,ミヤー
むきなおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,むきなおる,ムキナオウ,ムキナオー
やききう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,やききる,ヤキキウ,ヤキキー
あばれまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あばれまわる,アバレマオウ,アバレマオー
取りあつこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,取りあつかう,トリアツコウ,トリアツコー
掻っ切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掻っ切る,コウキウ,コウキー
もえひろごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もえひろがる,モエヒロゴウ,モエヒロゴー
拘おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,拘わる,カカオウ,カカオー
遣う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,遣う,ツコウ,ツコー
たまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たまわる,タマオウ,タマオー
ひっ篭う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひっ篭る,ヒウコモウ,ヒウコモー
かかわりおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かかわりあう,カカワリオウ,カカワリオー
呷う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,呷る,アオウ,アオー
取もう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,取もつ,トリモウ,トリモー
けむう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,けむる,ケムウ,ケムー
畏れ入う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,畏れ入る,オソレイウ,オソレイー
坐う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,坐る,スオウ,スオー
てつどう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,てつだう,テツドウ,テツドー
からみおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,からみあう,カラミオウ,カラミオー
おう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続,おる,オウ,オー
掛合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,掛合う,カケオウ,カケオー
すすう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すする,ススウ,ススー
咲きそろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,咲きそろう,サキソロウ,サキソロー
押し迫う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,押し迫る,オシセモウ,オシセモー
けぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,けぶる,ケブウ,ケブー
追いすごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,追いすがる,オイスゴウ,オイスゴー
立ち塞ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立ち塞がる,タチフサゴウ,タチフサゴー
ひくもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひくまる,ヒクモウ,ヒクモー
すみかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すみかわる,スミカオウ,スミカオー
理う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,理る,コトオウ,コトオー
破う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,破る,ヤブウ,ヤブー
かじょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かざる,カジヨウ,カジヨー
仕あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,仕あがる,シアゴウ,シアゴー
付まとう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,付まとう,ツキマトウ,ツキマトー
哮り立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,哮り立つ,タケリトウ,タケリトー
くいさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くいさがる,クイサゴウ,クイサゴー
生れ変う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,生れ変る,ウマレカオウ,ウマレカオー
絶う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,絶つ,トウ,トー
透きとおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,透きとおる,スキトオウ,スキトーー
とごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,とがる,トゴウ,トゴー
こぐらこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こぐらかる,コグラコウ,コグラコー
そう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,そう,ソウ,ソー
突っ切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突っ切る,ツウキウ,ツウキー
読み破う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,読み破る,ヨミヤブウ,ヨミヤブー
ねじ切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ねじ切る,ネジキウ,ネジキー
迸う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,迸る,ホトバシウ,ホトバシー
かちほこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かちほこる,カチホコウ,カチホコー
あしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あさる,アシヨウ,アシヨー
言放う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,言放つ,イイハノウ,イーハノー
そめあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,そめあがる,ソメアゴウ,ソメアゴー
見繕う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,見繕う,ミツクロウ,ミツクロー
陥う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,陥る,オチイウ,オチイー
沸きあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,沸きあがる,ワキアゴウ,ワキアゴー
替う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,替る,カオウ,カオー
窪もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,窪まる,クボモウ,クボモー
せせう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,せせる,セセウ,セセー
理解し合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,理解し合う,リカイシオウ,リカイシオー
のびあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のびあがる,ノビアゴウ,ノビアゴー
あらどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,あらだつ,アラドウ,アラドー
這いずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,這いずる,ハイズウ,ハイズー
候う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,候う,ソウロウ,ソーロー
葬う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,葬る,ホウムウ,ホームー
譏う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,譏る,ソシウ,ソシー
立ち止う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立ち止る,タチドモウ,タチドモー
押黙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,押黙る,オシダモウ,オシダモー
貸し切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,貸し切る,カシキウ,カシキー
跳上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,跳上がる,ハネアゴウ,ハネアゴー
まどう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,まどう,マドウ,マドー
掻き毟う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掻き毟る,カキムシウ,カキムシー
かけおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かけあう,カケオウ,カケオー
架こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,架かる,カコウ,カコー
成立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,成立つ,ナリトウ,ナリトー
打ち切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,打ち切る,ウチキウ,ウチキー
打払う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,打払う,ウチハロウ,ウチハロー
思う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,思う,オモウ,オモー
はね上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はね上がる,ハネアゴウ,ハネアゴー
よこたおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,よこたわる,ヨコタオウ,ヨコタオー
寝取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,寝取る,ネトウ,ネトー
冀う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,冀う,コイネゴウ,コイネゴー
刺しょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,刺さる,サシヨウ,サシヨー
輝う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,輝る,テウ,テー
たちきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たちきる,タチキウ,タチキー
取り繕う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,取り繕う,トリツクロウ,トリツクロー
くしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くさる,クシヨウ,クシヨー
たかぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たかぶる,タカブウ,タカブー
かかり合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かかり合う,カカリオウ,カカリオー
つり合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つり合う,ツリオウ,ツリオー
のし上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のし上がる,ノシアゴウ,ノシアゴー
拠う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,拠る,ヨウ,ヨー
だきとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,だきとる,ダキトウ,ダキトー
攀じ登う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,攀じ登る,ヨジノボウ,ヨジノボー
見粉う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,見粉う,ミマゴウ,ミマゴー
みとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みとる,ミトウ,ミトー
巡う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,巡る,メグウ,メグー
代う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,代る,カオウ,カオー
おりおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おりあう,オリオウ,オリオー
躊躇う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,躊躇う,タメロウ,タメロー
付加おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,付加わる,ツケクワオウ,ツケクワオー
かかわり合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かかわり合う,カカワリオウ,カカワリオー
うたいまくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うたいまくる,ウタイマクウ,ウタイマクー
まくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まくる,マクウ,マクー
おどり上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おどり上がる,オドリアゴウ,オドリアゴー
切り立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,切り立つ,キリトウ,キリトー
撃ち合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,撃ち合う,ウチオウ,ウチオー
思いとどもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,思いとどまる,オモイトドモウ,オモイトドモー
