問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
ひいでれれ	動詞,自立,*,*,一段・可能,仮定形,ひいでれる,ヒイデレレ,ヒーデレレ
ひいでれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひいでれる,ヒイデレリャ,ヒーデレリャ
ひいでれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひいでれる,ヒイデレン,ヒーデレン
張詰めれる	動詞,自立,*,*,一段・可能,基本形,張詰めれる,ハリツメレル,ハリツメレル
張詰めれ	動詞,自立,*,*,一段・可能,未然形,張詰めれる,ハリツメレ,ハリツメレ
張詰めれ	動詞,自立,*,*,一段・可能,連用形,張詰めれる,ハリツメレ,ハリツメレ
張詰めれれ	動詞,自立,*,*,一段・可能,仮定形,張詰めれる,ハリツメレレ,ハリツメレレ
張詰めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,張詰めれる,ハリツメレリャ,ハリツメレリャ
張詰めれん	動詞,自立,*,*,一段・可能,体言接続特殊,張詰めれる,ハリツメレン,ハリツメレン
いきおいづけれる	動詞,自立,*,*,一段・可能,基本形,いきおいづけれる,イキオイヅケレル,イキオイズケレル
いきおいづけれ	動詞,自立,*,*,一段・可能,未然形,いきおいづけれる,イキオイヅケレ,イキオイズケレ
いきおいづけれ	動詞,自立,*,*,一段・可能,連用形,いきおいづけれる,イキオイヅケレ,イキオイズケレ
いきおいづけれれ	動詞,自立,*,*,一段・可能,仮定形,いきおいづけれる,イキオイヅケレレ,イキオイズケレレ
いきおいづけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,いきおいづけれる,イキオイヅケレリャ,イキオイズケレリャ
いきおいづけれん	動詞,自立,*,*,一段・可能,体言接続特殊,いきおいづけれる,イキオイヅケレン,イキオイズケレン
跡絶えれる	動詞,自立,*,*,一段・可能,基本形,跡絶えれる,トダエレル,トダエレル
跡絶えれ	動詞,自立,*,*,一段・可能,未然形,跡絶えれる,トダエレ,トダエレ
跡絶えれ	動詞,自立,*,*,一段・可能,連用形,跡絶えれる,トダエレ,トダエレ
跡絶えれれ	動詞,自立,*,*,一段・可能,仮定形,跡絶えれる,トダエレレ,トダエレレ
跡絶えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,跡絶えれる,トダエレリャ,トダエレリャ
跡絶えれん	動詞,自立,*,*,一段・可能,体言接続特殊,跡絶えれる,トダエレン,トダエレン
きがえれる	動詞,自立,*,*,一段・可能,基本形,きがえれる,キガエレル,キガエレル
きがえれ	動詞,自立,*,*,一段・可能,未然形,きがえれる,キガエレ,キガエレ
きがえれ	動詞,自立,*,*,一段・可能,連用形,きがえれる,キガエレ,キガエレ
きがえれれ	動詞,自立,*,*,一段・可能,仮定形,きがえれる,キガエレレ,キガエレレ
きがえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,きがえれる,キガエレリャ,キガエレリャ
きがえれん	動詞,自立,*,*,一段・可能,体言接続特殊,きがえれる,キガエレン,キガエレン
じれれる	動詞,自立,*,*,一段・可能,基本形,じれれる,ジレレル,ジレレル
じれれ	動詞,自立,*,*,一段・可能,未然形,じれれる,ジレレ,ジレレ
じれれ	動詞,自立,*,*,一段・可能,連用形,じれれる,ジレレ,ジレレ
じれれれ	動詞,自立,*,*,一段・可能,仮定形,じれれる,ジレレレ,ジレレレ
じれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,じれれる,ジレレリャ,ジレレリャ
じれれん	動詞,自立,*,*,一段・可能,体言接続特殊,じれれる,ジレレン,ジレレン
書入れれる	動詞,自立,*,*,一段・可能,基本形,書入れれる,カキイレレル,カキイレレル
書入れれ	動詞,自立,*,*,一段・可能,未然形,書入れれる,カキイレレ,カキイレレ
書入れれ	動詞,自立,*,*,一段・可能,連用形,書入れれる,カキイレレ,カキイレレ
書入れれれ	動詞,自立,*,*,一段・可能,仮定形,書入れれる,カキイレレレ,カキイレレレ
書入れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,書入れれる,カキイレレリャ,カキイレレリャ
書入れれん	動詞,自立,*,*,一段・可能,体言接続特殊,書入れれる,カキイレレン,カキイレレン
掛けれる	動詞,自立,*,*,一段・可能,基本形,掛けれる,カケレル,カケレル
掛けれ	動詞,自立,*,*,一段・可能,未然形,掛けれる,カケレ,カケレ
掛けれ	動詞,自立,*,*,一段・可能,連用形,掛けれる,カケレ,カケレ
掛けれれ	動詞,自立,*,*,一段・可能,仮定形,掛けれる,カケレレ,カケレレ
掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,掛けれる,カケレリャ,カケレリャ
掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,掛けれる,カケレン,カケレン
置忘れれる	動詞,自立,*,*,一段・可能,基本形,置忘れれる,オキワスレレル,オキワスレレル
置忘れれ	動詞,自立,*,*,一段・可能,未然形,置忘れれる,オキワスレレ,オキワスレレ
置忘れれ	動詞,自立,*,*,一段・可能,連用形,置忘れれる,オキワスレレ,オキワスレレ
置忘れれれ	動詞,自立,*,*,一段・可能,仮定形,置忘れれる,オキワスレレレ,オキワスレレレ
置忘れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,置忘れれる,オキワスレレリャ,オキワスレレリャ
置忘れれん	動詞,自立,*,*,一段・可能,体言接続特殊,置忘れれる,オキワスレレン,オキワスレレン
決めれる	動詞,自立,*,*,一段・可能,基本形,決めれる,キメレル,キメレル
決めれ	動詞,自立,*,*,一段・可能,未然形,決めれる,キメレ,キメレ
決めれ	動詞,自立,*,*,一段・可能,連用形,決めれる,キメレ,キメレ
決めれれ	動詞,自立,*,*,一段・可能,仮定形,決めれる,キメレレ,キメレレ
決めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,決めれる,キメレリャ,キメレリャ
決めれん	動詞,自立,*,*,一段・可能,体言接続特殊,決めれる,キメレン,キメレン
挙げれる	動詞,自立,*,*,一段・可能,基本形,挙げれる,アゲレル,アゲレル
挙げれ	動詞,自立,*,*,一段・可能,未然形,挙げれる,アゲレ,アゲレ
挙げれ	動詞,自立,*,*,一段・可能,連用形,挙げれる,アゲレ,アゲレ
挙げれれ	動詞,自立,*,*,一段・可能,仮定形,挙げれる,アゲレレ,アゲレレ
挙げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,挙げれる,アゲレリャ,アゲレリャ
挙げれん	動詞,自立,*,*,一段・可能,体言接続特殊,挙げれる,アゲレン,アゲレン
せぐりあげれる	動詞,自立,*,*,一段・可能,基本形,せぐりあげれる,セグリアゲレル,セグリアゲレル
せぐりあげれ	動詞,自立,*,*,一段・可能,未然形,せぐりあげれる,セグリアゲレ,セグリアゲレ
せぐりあげれ	動詞,自立,*,*,一段・可能,連用形,せぐりあげれる,セグリアゲレ,セグリアゲレ
せぐりあげれれ	動詞,自立,*,*,一段・可能,仮定形,せぐりあげれる,セグリアゲレレ,セグリアゲレレ
せぐりあげれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,せぐりあげれる,セグリアゲレリャ,セグリアゲレリャ
せぐりあげれん	動詞,自立,*,*,一段・可能,体言接続特殊,せぐりあげれる,セグリアゲレン,セグリアゲレン
かたよせれる	動詞,自立,*,*,一段・可能,基本形,かたよせれる,カタヨセレル,カタヨセレル
かたよせれ	動詞,自立,*,*,一段・可能,未然形,かたよせれる,カタヨセレ,カタヨセレ
かたよせれ	動詞,自立,*,*,一段・可能,連用形,かたよせれる,カタヨセレ,カタヨセレ
かたよせれれ	動詞,自立,*,*,一段・可能,仮定形,かたよせれる,カタヨセレレ,カタヨセレレ
かたよせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,かたよせれる,カタヨセレリャ,カタヨセレリャ
かたよせれん	動詞,自立,*,*,一段・可能,体言接続特殊,かたよせれる,カタヨセレン,カタヨセレン
聞えれる	動詞,自立,*,*,一段・可能,基本形,聞えれる,キコエレル,キコエレル
聞えれ	動詞,自立,*,*,一段・可能,未然形,聞えれる,キコエレ,キコエレ
聞えれ	動詞,自立,*,*,一段・可能,連用形,聞えれる,キコエレ,キコエレ
聞えれれ	動詞,自立,*,*,一段・可能,仮定形,聞えれる,キコエレレ,キコエレレ
聞えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,聞えれる,キコエレリャ,キコエレリャ
聞えれん	動詞,自立,*,*,一段・可能,体言接続特殊,聞えれる,キコエレン,キコエレン
読替えれる	動詞,自立,*,*,一段・可能,基本形,読替えれる,ヨミカエレル,ヨミカエレル
読替えれ	動詞,自立,*,*,一段・可能,未然形,読替えれる,ヨミカエレ,ヨミカエレ
読替えれ	動詞,自立,*,*,一段・可能,連用形,読替えれる,ヨミカエレ,ヨミカエレ
読替えれれ	動詞,自立,*,*,一段・可能,仮定形,読替えれる,ヨミカエレレ,ヨミカエレレ
読替えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,読替えれる,ヨミカエレリャ,ヨミカエレリャ
読替えれん	動詞,自立,*,*,一段・可能,体言接続特殊,読替えれる,ヨミカエレン,ヨミカエレン
ほそめれる	動詞,自立,*,*,一段・可能,基本形,ほそめれる,ホソメレル,ホソメレル
ほそめれ	動詞,自立,*,*,一段・可能,未然形,ほそめれる,ホソメレ,ホソメレ
ほそめれ	動詞,自立,*,*,一段・可能,連用形,ほそめれる,ホソメレ,ホソメレ
ほそめれれ	動詞,自立,*,*,一段・可能,仮定形,ほそめれる,ホソメレレ,ホソメレレ
ほそめれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ほそめれる,ホソメレリャ,ホソメレリャ
ほそめれん	動詞,自立,*,*,一段・可能,体言接続特殊,ほそめれる,ホソメレン,ホソメレン
のろけれる	動詞,自立,*,*,一段・可能,基本形,のろけれる,ノロケレル,ノロケレル
のろけれ	動詞,自立,*,*,一段・可能,未然形,のろけれる,ノロケレ,ノロケレ
のろけれ	動詞,自立,*,*,一段・可能,連用形,のろけれる,ノロケレ,ノロケレ
のろけれれ	動詞,自立,*,*,一段・可能,仮定形,のろけれる,ノロケレレ,ノロケレレ
のろけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,のろけれる,ノロケレリャ,ノロケレリャ
のろけれん	動詞,自立,*,*,一段・可能,体言接続特殊,のろけれる,ノロケレン,ノロケレン
具えれる	動詞,自立,*,*,一段・可能,基本形,具えれる,ソナエレル,ソナエレル
具えれ	動詞,自立,*,*,一段・可能,未然形,具えれる,ソナエレ,ソナエレ
具えれ	動詞,自立,*,*,一段・可能,連用形,具えれる,ソナエレ,ソナエレ
具えれれ	動詞,自立,*,*,一段・可能,仮定形,具えれる,ソナエレレ,ソナエレレ
具えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,具えれる,ソナエレリャ,ソナエレリャ
具えれん	動詞,自立,*,*,一段・可能,体言接続特殊,具えれる,ソナエレン,ソナエレン
ずぬけれる	動詞,自立,*,*,一段・可能,基本形,ずぬけれる,ズヌケレル,ズヌケレル
ずぬけれ	動詞,自立,*,*,一段・可能,未然形,ずぬけれる,ズヌケレ,ズヌケレ
ずぬけれ	動詞,自立,*,*,一段・可能,連用形,ずぬけれる,ズヌケレ,ズヌケレ
ずぬけれれ	動詞,自立,*,*,一段・可能,仮定形,ずぬけれる,ズヌケレレ,ズヌケレレ
ずぬけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ずぬけれる,ズヌケレリャ,ズヌケレリャ
ずぬけれん	動詞,自立,*,*,一段・可能,体言接続特殊,ずぬけれる,ズヌケレン,ズヌケレン
駆立てれる	動詞,自立,*,*,一段・可能,基本形,駆立てれる,カリタテレル,カリタテレル
駆立てれ	動詞,自立,*,*,一段・可能,未然形,駆立てれる,カリタテレ,カリタテレ
駆立てれ	動詞,自立,*,*,一段・可能,連用形,駆立てれる,カリタテレ,カリタテレ
駆立てれれ	動詞,自立,*,*,一段・可能,仮定形,駆立てれる,カリタテレレ,カリタテレレ
駆立てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,駆立てれる,カリタテレリャ,カリタテレリャ
駆立てれん	動詞,自立,*,*,一段・可能,体言接続特殊,駆立てれる,カリタテレン,カリタテレン
近寄せれる	動詞,自立,*,*,一段・可能,基本形,近寄せれる,チカヨセレル,チカヨセレル
近寄せれ	動詞,自立,*,*,一段・可能,未然形,近寄せれる,チカヨセレ,チカヨセレ
近寄せれ	動詞,自立,*,*,一段・可能,連用形,近寄せれる,チカヨセレ,チカヨセレ
近寄せれれ	動詞,自立,*,*,一段・可能,仮定形,近寄せれる,チカヨセレレ,チカヨセレレ
近寄せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,近寄せれる,チカヨセレリャ,チカヨセレリャ
近寄せれん	動詞,自立,*,*,一段・可能,体言接続特殊,近寄せれる,チカヨセレン,チカヨセレン
仕掛けれる	動詞,自立,*,*,一段・可能,基本形,仕掛けれる,シカケレル,シカケレル
仕掛けれ	動詞,自立,*,*,一段・可能,未然形,仕掛けれる,シカケレ,シカケレ
仕掛けれ	動詞,自立,*,*,一段・可能,連用形,仕掛けれる,シカケレ,シカケレ
仕掛けれれ	動詞,自立,*,*,一段・可能,仮定形,仕掛けれる,シカケレレ,シカケレレ
仕掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,仕掛けれる,シカケレリャ,シカケレリャ
仕掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,仕掛けれる,シカケレン,シカケレン
抱留めれる	動詞,自立,*,*,一段・可能,基本形,抱留めれる,ダキトメレル,ダキトメレル
抱留めれ	動詞,自立,*,*,一段・可能,未然形,抱留めれる,ダキトメレ,ダキトメレ
抱留めれ	動詞,自立,*,*,一段・可能,連用形,抱留めれる,ダキトメレ,ダキトメレ
抱留めれれ	動詞,自立,*,*,一段・可能,仮定形,抱留めれる,ダキトメレレ,ダキトメレレ
抱留めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,抱留めれる,ダキトメレリャ,ダキトメレリャ
抱留めれん	動詞,自立,*,*,一段・可能,体言接続特殊,抱留めれる,ダキトメレン,ダキトメレン
